student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.5348,0.775,0.5591,0.5677,0.81825,0.006104386,0.56520426
0.5609,0.81775,0.55091333,0.5747,0.82125,0.0060400874,0.55695355
0.5516,0.81575,0.58054584,0.5741,0.832,0.006503132,0.587049
0.5434,0.78225,0.58733714,0.5715,0.8165,0.0063728616,0.59371006
0.5581,0.825,0.5805601,0.5723,0.83075,0.006706399,0.58726645
0.5612,0.836,0.5415039,0.5767,0.8315,0.0058366098,0.5473405
0.559,0.83475,0.5280097,0.5706,0.82625,0.005408022,0.5334177
0.5608,0.84275,0.49332434,0.5797,0.82775,0.0055534104,0.49887776
0.5491,0.805,0.5123164,0.5717,0.83425,0.006153255,0.5184697
0.5512,0.81275,0.54126894,0.5712,0.83825,0.0059000156,0.547169
0.5572,0.81975,0.5357791,0.5764,0.83325,0.0053833313,0.5411625
0.5548,0.83725,0.53950083,0.5802,0.83475,0.005546647,0.5450476
0.5621,0.8285,0.5015098,0.5736,0.83875,0.0059046736,0.50741446
0.5549,0.8205,0.4890883,0.5711,0.846,0.0058942465,0.49498254
0.5606,0.828,0.4812708,0.5792,0.84125,0.005484888,0.48675567
0.5571,0.83725,0.4793547,0.5717,0.8435,0.005447913,0.48480263
0.5571,0.83525,0.49044877,0.5821,0.8485,0.0053808903,0.49582967
0.5515,0.832,0.49028927,0.5775,0.8575,0.0057251668,0.49601442
0.5655,0.85425,0.50001496,0.5756,0.85075,0.005866873,0.50588185
0.5597,0.85575,0.46246052,0.5729,0.848,0.005948,0.46840852
0.5535,0.8415,0.4935758,0.5769,0.853,0.006449464,0.5000253
0.5667,0.8565,0.4540929,0.5776,0.859,0.004479533,0.45857245
0.5369,0.83175,0.45340604,0.5775,0.85725,0.0055809324,0.45898706
0.5483,0.8235,0.4784317,0.5768,0.86175,0.005772817,0.48420447
0.5621,0.84575,0.46373492,0.5776,0.85975,0.0055074343,0.46924227
0.5644,0.86,0.45126504,0.5797,0.8655,0.005200729,0.45646578
0.551,0.832,0.46474305,0.577,0.87425,0.0057874257,0.47053042
0.5583,0.84475,0.48135915,0.5817,0.86775,0.005872323,0.48723143
0.5417,0.847,0.45995554,0.5835,0.8665,0.005101909,0.46505746
0.5614,0.85575,0.4593885,0.578,0.86975,0.005759334,0.46514782
0.5677,0.87375,0.44456118,0.5764,0.86925,0.0050936546,0.44965482
0.5556,0.84925,0.40149516,0.5807,0.8785,0.0044561327,0.40595132
0.5483,0.842,0.4242703,0.5779,0.874,0.0052319593,0.42950225
0.5641,0.861,0.43899107,0.5843,0.876,0.0055667204,0.44455776
0.5545,0.8625,0.4279129,0.5759,0.87175,0.0047316765,0.43264455
0.5403,0.8355,0.4848264,0.5832,0.8775,0.006221504,0.49104786
0.5434,0.837,0.44339895,0.5744,0.87575,0.0047404496,0.44813937
0.5573,0.86,0.4033103,0.5824,0.877,0.005013734,0.40832406
0.5591,0.87225,0.41060013,0.5814,0.8845,0.0047742687,0.41537437
0.5671,0.85975,0.39050996,0.5732,0.8855,0.004467301,0.39497727
0.5676,0.87,0.39826646,0.5768,0.89,0.004182079,0.4024485
0.5668,0.887,0.35546595,0.582,0.88675,0.004509289,0.35997522
0.553,0.86625,0.4192503,0.5765,0.89325,0.00520829,0.4244586
0.5678,0.89225,0.42712498,0.5805,0.8905,0.004642329,0.43176728
0.5581,0.84975,0.40023524,0.5796,0.895,0.004440603,0.4046758
0.5686,0.87975,0.3953726,0.5872,0.891,0.0044396096,0.39981222
0.5623,0.89,0.3735369,0.579,0.889,0.0042771613,0.3778141
0.5629,0.86225,0.40506306,0.5805,0.89625,0.004249419,0.40931255
0.5514,0.86,0.39359525,0.5818,0.891,0.003870247,0.39746547
0.5655,0.8975,0.39271122,0.5793,0.8955,0.0038068183,0.39651802
0.5475,0.8635,0.36357847,0.5774,0.8985,0.0036753998,0.36725387
0.5352,0.84075,0.3483606,0.5792,0.9045,0.003887035,0.35224763
0.5631,0.88225,0.38349646,0.5844,0.9055,0.0042246925,0.38772115
0.5651,0.8935,0.37915713,0.581,0.902,0.003703413,0.38286057
0.5594,0.895,0.35194126,0.5832,0.90475,0.0039481036,0.35588938
0.543,0.877,0.37291253,0.5853,0.90325,0.0041161655,0.37702867
0.5514,0.879,0.3794016,0.5861,0.90475,0.004144761,0.38354638
0.5634,0.88625,0.3585741,0.5851,0.9015,0.0030339272,0.36160797
0.5632,0.88,0.34710425,0.5802,0.90725,0.003199128,0.3503034
0.5593,0.8845,0.32235247,0.5812,0.913,0.0032075495,0.32556
