student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.4913,0.829,0.59988296,0.4971,0.779,0.010555582,0.6104385
0.4659,0.783,0.5574881,0.4978,0.78,0.009351446,0.5668395
0.4794,0.807,0.62643135,0.4999,0.783,0.011474907,0.63790625
0.4952,0.834,0.5656768,0.4987,0.787,0.009311864,0.57498866
0.4706,0.822,0.5344807,0.4983,0.786,0.00918261,0.5436633
0.4926,0.8295,0.5718849,0.4969,0.801,0.010211475,0.58209634
0.4943,0.8255,0.59575546,0.4997,0.796,0.010942872,0.6066984
0.4821,0.8025,0.5695608,0.5002,0.7995,0.009922124,0.579483
0.4864,0.8315,0.5801665,0.4986,0.784,0.010495413,0.5906618
0.4895,0.832,0.53189826,0.4991,0.804,0.009866925,0.5417652
0.4957,0.8545,0.5085758,0.4955,0.8065,0.0086299805,0.5172057
0.4893,0.8445,0.4969514,0.5012,0.804,0.008622693,0.50557405
0.4767,0.827,0.5053407,0.5016,0.801,0.00902645,0.51436716
0.4957,0.8585,0.49046832,0.5035,0.8045,0.009210278,0.4996786
0.468,0.7935,0.510996,0.5027,0.8045,0.010629332,0.52162534
0.4823,0.859,0.5411314,0.508,0.8175,0.0101578515,0.5512892
0.4841,0.8535,0.51541984,0.5017,0.8225,0.008978739,0.5243985
0.5032,0.854,0.4695097,0.5002,0.816,0.008604092,0.47811383
0.5041,0.851,0.49819708,0.5024,0.817,0.010063307,0.50826037
0.4772,0.858,0.5197276,0.5034,0.8255,0.009802696,0.5295302
0.4805,0.84,0.47387853,0.5025,0.812,0.010003211,0.48388177
0.4806,0.8355,0.48927957,0.5051,0.8135,0.009015086,0.4982946
0.4956,0.8595,0.49324232,0.511,0.8185,0.010513163,0.50375545
0.4922,0.8475,0.46088418,0.5104,0.8105,0.010072761,0.47095698
0.4994,0.851,0.45919952,0.5065,0.825,0.010907929,0.47010747
0.4811,0.849,0.48640785,0.5011,0.827,0.00956391,0.49597177
0.4817,0.8495,0.5017805,0.5052,0.8345,0.010042208,0.51182276
0.4925,0.864,0.49808845,0.5035,0.8175,0.009648761,0.5077372
0.4721,0.85,0.4664405,0.5071,0.835,0.009433241,0.47587377
0.4815,0.851,0.48680606,0.5089,0.8295,0.010189877,0.496996
0.4849,0.872,0.43755326,0.5063,0.8325,0.008559167,0.44611245
0.4925,0.8555,0.43220788,0.5002,0.8455,0.009313647,0.44152156
0.4966,0.858,0.41232204,0.5095,0.8425,0.008883488,0.42120558
0.4748,0.85,0.4620513,0.511,0.843,0.008195915,0.4702472
0.4928,0.8465,0.45466995,0.499,0.8425,0.009913918,0.4645838
0.4825,0.872,0.421174,0.5034,0.8485,0.008610415,0.4297844
0.5007,0.8745,0.41996518,0.5076,0.855,0.008638198,0.42860335
0.4948,0.871,0.43376723,0.513,0.8615,0.007729426,0.44149667
0.4904,0.8945,0.42129698,0.5092,0.849,0.007876018,0.429173
0.4931,0.8895,0.40701666,0.4998,0.8495,0.008566667,0.4155833
0.4946,0.886,0.43274418,0.5081,0.859,0.008446565,0.44119078
0.493,0.8995,0.40028533,0.5139,0.8645,0.007973419,0.40825877
0.497,0.8855,0.37718126,0.5123,0.854,0.008451779,0.38563308
0.4637,0.824,0.3962984,0.5077,0.8555,0.008746681,0.4050451
0.4899,0.8675,0.44466314,0.5134,0.8715,0.008971466,0.4536346
0.4775,0.853,0.40993938,0.5071,0.862,0.008957177,0.4188966
0.4802,0.8575,0.4185846,0.5101,0.868,0.009669607,0.42825422
0.477,0.855,0.38426828,0.5131,0.8665,0.007541255,0.39180952
0.4943,0.9005,0.39432845,0.509,0.859,0.009493721,0.40382212
0.4948,0.881,0.3634666,0.5105,0.867,0.007839493,0.3713061
0.4834,0.861,0.35559875,0.5101,0.86,0.008321969,0.36392066
0.4976,0.901,0.3827411,0.509,0.874,0.008386756,0.39112782
0.4854,0.8945,0.35932508,0.5089,0.869,0.008094012,0.3674191
0.4945,0.9,0.38895845,0.5074,0.8785,0.008603128,0.39756158
0.4808,0.8705,0.39299327,0.5031,0.873,0.007966364,0.40095964
0.4795,0.845,0.42953563,0.5098,0.88,0.00871759,0.43825322
0.4723,0.8735,0.42170483,0.5028,0.8795,0.008169527,0.42987433
0.4901,0.891,0.3560801,0.5103,0.8835,0.0070125572,0.36309263
0.4846,0.887,0.33820203,0.5113,0.879,0.0075934357,0.34579545
0.4579,0.829,0.3842105,0.5087,0.887,0.008623531,0.39283404
0.4786,0.8755,0.39028677,0.513,0.88,0.008718675,0.39900547
0.4955,0.8965,0.35578448,0.5149,0.8875,0.0066897334,0.36247426
0.488,0.906,0.32041392,0.5124,0.899,0.0071477504,0.32756168
0.4905,0.904,0.35554636,0.514,0.8915,0.008257782,0.36380413
0.4848,0.8915,0.3283959,0.5169,0.8885,0.007485274,0.3358812
0.4852,0.884,0.3677044,0.5077,0.8915,0.008246799,0.3759512
0.4817,0.879,0.3534741,0.5157,0.884,0.007151591,0.36062568
0.4716,0.8925,0.35499635,0.5107,0.9035,0.008315659,0.36331204
0.4835,0.887,0.34870064,0.5096,0.898,0.0071704863,0.3558711
0.4947,0.895,0.32050276,0.5084,0.8885,0.0075287633,0.3280315
0.4809,0.85,0.33911175,0.512,0.899,0.0075127855,0.34662455
0.4863,0.907,0.39824802,0.5078,0.8975,0.00969057,0.40793863
0.4799,0.8855,0.37647754,0.5143,0.9,0.008615287,0.38509282
0.4817,0.8985,0.30499735,0.5104,0.9,0.006340244,0.31133756
0.4753,0.8375,0.3257248,0.515,0.8945,0.007308881,0.33303368
0.4615,0.8445,0.36287332,0.5102,0.898,0.008878109,0.37175143
0.4832,0.8865,0.38321236,0.5123,0.901,0.009140121,0.3923525
0.4858,0.8965,0.30250844,0.5128,0.9155,0.0058431206,0.30835158
0.4872,0.913,0.29549316,0.5109,0.915,0.006322133,0.3018153
0.4689,0.889,0.313087,0.5095,0.908,0.0068084537,0.31989542
0.4717,0.8905,0.37275857,0.5082,0.906,0.007845653,0.38060424
0.4847,0.912,0.29181907,0.509,0.908,0.0061179204,0.29793698
0.4765,0.8915,0.339015,0.5084,0.917,0.007424117,0.34643915
